"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","TCP Segment Len","Info"
"73","11.825674339","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","1664","336","85","Encrypted Handshake Message"
"74","11.825694462","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1749","0","47650  >  52564 [ACK] Seq=336 Ack=1749 Win=64128 Len=0 TSval=1597716245 TSecr=4075319193"
"75","11.854146088","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","187","336","1749","101","Application Data"
"76","12.029114298","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1749","437","0","52564  >  47650 [ACK] Seq=1749 Ack=437 Win=130944 Len=0 TSval=4075319283 TSecr=1597716273"
"77","12.095993373","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","155","1749","437","69","Application Data"
"78","12.139651127","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","437","1818","0","47650  >  52564 [ACK] Seq=437 Ack=1818 Win=64128 Len=0 TSval=1597716559 TSecr=4075319427"
"79","12.178810410","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","437","1818","85","Application Data"
"80","12.196659024","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1818","522","0","52564  >  47650 [ACK] Seq=1818 Ack=522 Win=130944 Len=0 TSval=4075319579 TSecr=1597716598"
"81","12.266642928","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","187","1818","522","101","Application Data"
"82","12.266665406","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","522","1919","0","47650  >  52564 [ACK] Seq=522 Ack=1919 Win=64128 Len=0 TSval=1597716686 TSecr=4075319593"
"83","12.273002068","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","522","1919","85","Application Data"
"84","12.313606468","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1919","607","0","52564  >  47650 [ACK] Seq=1919 Ack=607 Win=130944 Len=0 TSval=4075319698 TSecr=1597716692"
"85","12.357326143","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","251","1919","607","165","Application Data"
"86","12.399633777","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","607","2084","0","47650  >  52564 [ACK] Seq=607 Ack=2084 Win=64128 Len=0 TSval=1597716819 TSecr=4075319714"
"87","12.410189901","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","607","2084","85","Application Data"
"88","12.648385893","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2084","692","0","52564  >  47650 [ACK] Seq=2084 Ack=692 Win=130944 Len=0 TSval=4075319852 TSecr=1597716829"
"89","12.648400519","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","2084","692","85","Application Data"
"90","12.648409233","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","692","2169","0","47650  >  52564 [ACK] Seq=692 Ack=2169 Win=64128 Len=0 TSval=1597717067 TSecr=4075319864"
"91","12.778518228","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","1514","692","2169","1428","47650  >  52564 [ACK] Seq=692 Ack=2169 Win=64128 Len=1428 TSval=1597717198 TSecr=4075319864 [TCP segment of a reassembled PDU]"
"92","12.778533886","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","183","2120","2169","97","Application Data"
"93","12.944278395","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","183","2120","2169","97","[TCP Retransmission] 47650  >  52564 [PSH, ACK] Seq=2120 Ack=2169 Win=64128 Len=97 TSval=1597717363 TSecr=4075319864"
"94","12.955601211","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2169","2120","0","52564  >  47650 [ACK] Seq=2169 Ack=2120 Win=129600 Len=0 TSval=4075320254 TSecr=1597717198"
"95","12.955617707","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2169","2217","0","52564  >  47650 [ACK] Seq=2169 Ack=2217 Win=130944 Len=0 TSval=4075320342 TSecr=1597717198"
"96","12.955619664","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","2169","2217","0","[TCP Dup ACK 95#1] 52564  >  47650 [ACK] Seq=2169 Ack=2217 Win=130944 Len=0 TSval=4075320342 TSecr=1597717363 SLE=2120 SRE=2217"
"97","13.266223693","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","187","2169","2217","101","Application Data"
"98","13.266246295","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2217","2270","0","47650  >  52564 [ACK] Seq=2217 Ack=2270 Win=64128 Len=0 TSval=1597717685 TSecr=4075320413"
"99","13.342872530","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","459","2217","2270","373","Application Data"
"100","13.577002835","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2270","2590","0","52564  >  47650 [ACK] Seq=2270 Ack=2590 Win=130688 Len=0 TSval=4075320778 TSecr=1597717762"
"101","13.577016387","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","2270","2590","85","Application Data"
"102","13.577025088","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2590","2355","0","47650  >  52564 [ACK] Seq=2590 Ack=2355 Win=64128 Len=0 TSval=1597717996 TSecr=4075320806"
"103","13.583532836","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","187","2590","2355","101","Application Data"
"104","13.669038428","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2355","2691","0","52564  >  47650 [ACK] Seq=2355 Ack=2691 Win=130944 Len=0 TSval=4075320996 TSecr=1597718003"
"105","13.669053385","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","491","2355","2691","405","Application Data"
"106","13.711606674","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2691","2760","0","47650  >  52564 [ACK] Seq=2691 Ack=2760 Win=64128 Len=0 TSval=1597718131 TSecr=4075321028"
"107","13.734429334","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","2691","2760","85","Application Data"
"108","14.073447825","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2760","2776","0","52564  >  47650 [ACK] Seq=2760 Ack=2776 Win=130944 Len=0 TSval=4075321220 TSecr=1597718153"
"109","14.073572462","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","2760","2776","85","Application Data"
"110","14.073582742","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2776","2845","0","47650  >  52564 [ACK] Seq=2776 Ack=2845 Win=64128 Len=0 TSval=1597718493 TSecr=4075321232"
"111","14.077815512","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","2776","2845","85","Application Data"
"112","14.482700954","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","171","2760","2776","85","[TCP Spurious Retransmission] 52564  >  47650 [PSH, ACK] Seq=2760 Ack=2776 Win=131072 Len=85 TSval=4075321609 TSecr=1597718153"
"113","14.482717640","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","98","2861","2845","0","[TCP Dup ACK 110#1] 47650  >  52564 [ACK] Seq=2861 Ack=2845 Win=64128 Len=0 TSval=1597718902 TSecr=4075321609 SLE=2760 SRE=2845"
"114","14.482728317","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2845","2861","0","52564  >  47650 [ACK] Seq=2845 Ack=2861 Win=130944 Len=0 TSval=4075321612 TSecr=1597718497"
"115","14.482731716","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","2845","2861","117","Application Data"
"116","14.482735432","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2861","2962","0","47650  >  52564 [ACK] Seq=2861 Ack=2962 Win=64128 Len=0 TSval=1597718902 TSecr=4075321624"
"117","16.490149892","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","2861","2962","85","Application Data"
"118","16.780755847","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2962","2946","0","52564  >  47650 [ACK] Seq=2962 Ack=2946 Win=130944 Len=0 TSval=4075324069 TSecr=1597720909"
"119","16.780768222","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","2962","2946","117","Application Data"
"120","16.780778538","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2946","3079","0","47650  >  52564 [ACK] Seq=2946 Ack=3079 Win=64128 Len=0 TSval=1597721200 TSecr=4075324080"
"123","18.787471914","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","2946","3079","85","Application Data"
"124","18.914218482","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3079","3031","0","52564  >  47650 [ACK] Seq=3079 Ack=3031 Win=130944 Len=0 TSval=4075326264 TSecr=1597723207"
"125","18.914232120","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","3079","3031","117","Application Data"
"126","18.914242429","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3031","3196","0","47650  >  52564 [ACK] Seq=3031 Ack=3196 Win=64128 Len=0 TSval=1597723333 TSecr=4075326275"
"130","20.919634405","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3031","3196","85","Application Data"
"131","21.163543174","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3196","3116","0","52564  >  47650 [ACK] Seq=3196 Ack=3116 Win=131072 Len=0 TSval=4075328442 TSecr=1597725339"
"132","21.163558968","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","3196","3116","117","Application Data"
"133","21.163572213","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3116","3313","0","47650  >  52564 [ACK] Seq=3116 Ack=3313 Win=64128 Len=0 TSval=1597725583 TSecr=4075328453"
"136","23.168641427","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3116","3313","85","Application Data"
"137","23.399668521","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3313","3201","0","52564  >  47650 [ACK] Seq=3313 Ack=3201 Win=131072 Len=0 TSval=4075330692 TSecr=1597727588"
"138","23.407974588","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","3313","3201","117","Application Data"
"139","23.407999653","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3201","3430","0","47650  >  52564 [ACK] Seq=3201 Ack=3430 Win=64128 Len=0 TSval=1597727827 TSecr=4075330703"
"140","25.412878946","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3201","3430","85","Application Data"
"141","26.015962042","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","171","3201","3430","85","[TCP Retransmission] 47650  >  52564 [PSH, ACK] Seq=3201 Ack=3430 Win=64128 Len=85 TSval=1597730435 TSecr=4075330703"
"142","26.053228018","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3430","3286","0","52564  >  47650 [ACK] Seq=3430 Ack=3286 Win=131072 Len=0 TSval=4075333054 TSecr=1597729832"
"143","26.053244570","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","3430","3286","117","Application Data"
"144","26.053256655","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3286","3547","0","47650  >  52564 [ACK] Seq=3286 Ack=3547 Win=64128 Len=0 TSval=1597730472 TSecr=4075333064"
"145","26.057047442","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3286","3547","85","Application Data"
"146","26.097418042","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","203","3430","3286","117","[TCP Spurious Retransmission] 52564  >  47650 [PSH, ACK] Seq=3430 Ack=3286 Win=131072 Len=117 TSval=4075333423 TSecr=1597729832"
"147","26.097434139","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","98","3371","3547","0","[TCP Dup ACK 144#1] 47650  >  52564 [ACK] Seq=3371 Ack=3547 Win=64128 Len=0 TSval=1597730517 TSecr=4075333423 SLE=3430 SRE=3547"
"148","26.215669110","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","3547","3286","0","[TCP Dup ACK 142#1] 52564  >  47650 [ACK] Seq=3547 Ack=3286 Win=131072 Len=0 TSval=4075333482 TSecr=1597730435 SLE=3201 SRE=3286"
"149","26.215683573","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3547","3371","0","52564  >  47650 [ACK] Seq=3547 Ack=3371 Win=130944 Len=0 TSval=4075333487 TSecr=1597730476"
"150","26.215688804","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","3547","3371","85","Application Data"
"151","26.215700351","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3371","3632","0","47650  >  52564 [ACK] Seq=3371 Ack=3632 Win=64128 Len=0 TSval=1597730635 TSecr=4075333497"
"152","26.219089890","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3371","3632","85","Application Data"
"153","26.476597837","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3632","3456","0","52564  >  47650 [ACK] Seq=3632 Ack=3456 Win=131072 Len=0 TSval=4075333692 TSecr=1597730638"
"154","26.476614007","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","3632","3456","85","Application Data"
"155","26.488045566","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","155","3456","3717","69","Encrypted Alert"
"156","26.488112514","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3525","3717","0","47650  >  52564 [FIN, ACK] Seq=3525 Ack=3717 Win=64128 Len=0 TSval=1597730907 TSecr=4075333702"
"157","26.526995295","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3717","3525","0","52564  >  47650 [ACK] Seq=3717 Ack=3525 Win=130944 Len=0 TSval=4075333905 TSecr=1597730907"
"158","26.527007371","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3717","3526","0","52564  >  47650 [ACK] Seq=3717 Ack=3526 Win=130944 Len=0 TSval=4075333905 TSecr=1597730907"
"161","31.422577774","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","155","3717","3526","69","Encrypted Alert"
"162","31.422595412","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","74","3526","0","0","47650  >  52564 [RST] Seq=3526 Win=0 Len=0"
"163","31.422607626","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3786","3526","0","52564  >  47650 [FIN, ACK] Seq=3786 Ack=3526 Win=130944 Len=0 TSval=4075338709 TSecr=1597730907"
"164","31.422609610","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","74","3526","0","0","47650  >  52564 [RST] Seq=3526 Win=0 Len=0"
"165","31.422611570","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","74","3787","3526","0","52564  >  47650 [RST, ACK] Seq=3787 Ack=3526 Win=130944 Len=0"
"166","34.239651578","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","","57601  >  15118 Len=10"
"167","34.491815397","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","","57601  >  15118 Len=10"
"168","34.743003731","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","","57601  >  15118 Len=10"
"169","34.752215634","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","UDP","90","","","","15118  >  57601 Len=28"
"170","34.988371844","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","UDP","90","","","","15118  >  57601 Len=28"
"171","35.041319402","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","94","0","0","0","47652  >  52564 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=1597739461 TSecr=0 WS=128"
"172","35.071889434","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","0","1","0","52564  >  47652 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=2993236271 TSecr=1597739461 SACK_PERM=1"
"173","35.071913295","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","1","1","0","47652  >  52564 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=1597739491 TSecr=2993236271"
"174","35.090762273","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","288","1","1","202","Client Hello"
"175","35.124058787","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","1","0","[TCP Window Update] 52564  >  47652 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=2993236298 TSecr=1597739491"
"176","35.135272183","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","203","0","52564  >  47652 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=2993236324 TSecr=1597739510"
"177","35.135289708","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","176","1","203","90","Server Hello"
"178","35.135302033","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","91","0","47652  >  52564 [ACK] Seq=203 Ack=91 Win=64896 Len=0 TSval=1597739555 TSecr=2993236335"
"179","35.135314488","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","1524","91","203","1438","Certificate"
"180","35.135316424","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1529","0","47652  >  52564 [ACK] Seq=203 Ack=1529 Win=63488 Len=0 TSval=1597739555 TSecr=2993236335"
"181","35.155483426","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","215","1529","203","129","Server Key Exchange, Server Hello Done"
"182","35.155515595","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1658","0","47652  >  52564 [ACK] Seq=203 Ack=1658 Win=63360 Len=0 TSval=1597739575 TSecr=2993236348"
"183","35.170171386","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","128","203","1658","42","Client Key Exchange"
"184","35.196364525","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1658","245","0","52564  >  47652 [ACK] Seq=1658 Ack=245 Win=131072 Len=0 TSval=2993236378 TSecr=1597739589"
"185","35.196393175","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","177","245","1658","91","Change Cipher Spec, Encrypted Handshake Message"
"186","35.211928587","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1658","336","0","52564  >  47652 [ACK] Seq=1658 Ack=336 Win=131008 Len=0 TSval=2993236403 TSecr=1597739616"
"187","35.211951079","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","92","1658","336","6","Change Cipher Spec"
"188","35.255816843","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1664","0","47652  >  52564 [ACK] Seq=336 Ack=1664 Win=64128 Len=0 TSval=1597739675 TSecr=2993236403"
"189","35.274016902","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","1664","336","85","Encrypted Handshake Message"
"190","35.274028356","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1749","0","47652  >  52564 [ACK] Seq=336 Ack=1749 Win=64128 Len=0 TSval=1597739693 TSecr=2993236474"
"191","35.306953761","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","187","336","1749","101","Application Data"
"192","35.415330383","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1749","437","0","52564  >  47652 [ACK] Seq=1749 Ack=437 Win=130944 Len=0 TSval=2993236567 TSecr=1597739726"
"193","35.415346357","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","155","1749","437","69","Application Data"
"194","35.455634569","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","437","1818","0","47652  >  52564 [ACK] Seq=437 Ack=1818 Win=64128 Len=0 TSval=1597739875 TSecr=2993236575"
"195","35.487531644","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","437","1818","85","Application Data"
"196","35.541012956","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1818","522","0","52564  >  47652 [ACK] Seq=1818 Ack=522 Win=130944 Len=0 TSval=2993236735 TSecr=1597739907"
"197","35.579058052","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","187","1818","522","101","Application Data"
