"No.","Time","Time Diff","Source address","Transmitter address","Receiver address","Destination address","Length","Sequence number","Data Length","Starting Sequence Number","Priority","Info"
"97752","27.324421","0.179530000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","170","2625","88","","Best Effort (Best Effort)","QoS Data, SN=2625, FN=0, Flags=.p.....TC"
"97753","27.324476","0.000055000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","259","2626","173","","Best Effort (Best Effort)","QoS Data, SN=2626, FN=0, Flags=.p.....TC"
"98539","27.584084","0.259608000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","291","2629","205","","Best Effort (Best Effort)","QoS Data, SN=2629, FN=0, Flags=.p.....TC"
"111451","29.819682","2.235598000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2631","88","","Best Effort (Best Effort)","QoS Data, SN=2631, FN=0, Flags=.p.....TC"
"111453","29.819795","0.000113000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","291","2632","205","","Best Effort (Best Effort)","QoS Data, SN=2632, FN=0, Flags=.p.....TC"
"114946","30.415547","0.595752000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2262","88","","Voice (Voice)","QoS Data, SN=2262, FN=0, Flags=.p.....TC"
"125017","32.040917","1.625370000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2633","88","","Best Effort (Best Effort)","QoS Data, SN=2633, FN=0, Flags=.p.....TC"
"137800","34.177250","2.136333000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2635","88","","Best Effort (Best Effort)","QoS Data, SN=2635, FN=0, Flags=.p.....TC"
"137861","34.186358","0.009108000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","291","2636","205","","Best Effort (Best Effort)","QoS Data, SN=2636, FN=0, Flags=.p.....TC"
"150813","36.320188","2.133830000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2637","88","","Best Effort (Best Effort)","QoS Data, SN=2637, FN=0, Flags=.p.....TC"
"150935","36.341198","0.021010000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","291","2638","205","","Best Effort (Best Effort)","QoS Data, SN=2638, FN=0, Flags=.p.....TC"
"164722","38.554105","2.212907000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2639","88","","Best Effort (Best Effort)","QoS Data, SN=2639, FN=0, Flags=.p.....TC"
"164782","38.562410","0.008305000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","291","2640","205","","Best Effort (Best Effort)","QoS Data, SN=2640, FN=0, Flags=.p.....TC"
"165390","38.670580","0.108170000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2641","88","","Best Effort (Best Effort)","QoS Data, SN=2641, FN=0, Flags=.p.....TC"
"165399","38.673204","0.002624000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","259","2642","173","","Best Effort (Best Effort)","QoS Data, SN=2642, FN=0, Flags=.p.....TC"
"165626","38.704420","0.031216000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","170","2643","88","","Best Effort (Best Effort)","QoS Data, SN=2643, FN=0, Flags=.p.....TC"
"165627","38.704479","0.000059000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","259","2644","173","","Best Effort (Best Effort)","QoS Data, SN=2644, FN=0, Flags=.p.....TC"
"165919","38.754447","0.049968000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2645","88","","Best Effort (Best Effort)","QoS Data, SN=2645, FN=0, Flags=.p.....TC"
"165950","38.765001","0.010554000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2646","88","","Best Effort (Best Effort)","QoS Data, SN=2646, FN=0, Flags=.p.....TC"
"198117","44.109099","5.344098000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","243","2647","157","","Best Effort (Best Effort)","QoS Data, SN=2647, FN=0, Flags=.p.....TC"
"198119","44.109225","0.000126000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","170","2648","88","","Best Effort (Best Effort)","QoS Data, SN=2648, FN=0, Flags=.p.....TC"
"198120","44.109283","0.000058000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","162","2649","76","","Best Effort (Best Effort)","QoS Data, SN=2649, FN=0, Flags=.p.....TC"
"212977","46.550628","2.441345000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","178","2652","92","","Best Effort (Best Effort)","QoS Data, SN=2652, FN=0, Flags=.p.....TC"
"215517","46.990323","0.439695000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","186","2653","100","","Best Effort (Best Effort)","QoS Data, SN=2653, FN=0, Flags=.p.....TC"
"215637","47.018452","0.028129000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2654","88","","Best Effort (Best Effort)","QoS Data, SN=2654, FN=0, Flags=.p.....TC"
"215668","47.035076","0.016624000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2655","88","","Best Effort (Best Effort)","QoS Data, SN=2655, FN=0, Flags=.p.....TC"
"215971","47.083562","0.048486000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","260","2656","178","","Best Effort (Best Effort)","QoS Data, SN=2656, FN=0, Flags=.p.....TC"
"215972","47.083672","0.000110000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","1598","2657","1516","","Best Effort (Best Effort)","QoS Data, SN=2657, FN=0, Flags=.p.....TC"
"215973","47.083732","0.000060000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","184","2658","98","","Best Effort (Best Effort)","QoS Data, SN=2658, FN=0, Flags=.p.....TC"
"218030","47.391072","0.307340000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","1602","2659","1516","","Best Effort (Best Effort)","QoS Data, SN=2659, FN=0, Flags=.p.....TC"
"218032","47.391187","0.000115000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","303","2660","217","","Best Effort (Best Effort)","QoS Data, SN=2660, FN=0, Flags=.p.....TC"
"218206","47.424495","0.033308000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","303","2661","217","","Best Effort (Best Effort)","QoS Data, SN=2661, FN=0, Flags=.p.....TC"
"220026","47.753640","0.329145000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","170","2663","88","","Best Effort (Best Effort)","QoS Data, SN=2663, FN=0, Flags=.p.....TC"
"220027","47.753695","0.000055000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","180","2664","94","","Best Effort (Best Effort)","QoS Data, SN=2664, FN=0, Flags=.p.....TC"
"220332","47.798802","0.045107000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","271","2665","185","","Best Effort (Best Effort)","QoS Data, SN=2665, FN=0, Flags=.p.....TC"
"220571","47.831420","0.032618000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","186","2666","100","","Best Effort (Best Effort)","QoS Data, SN=2666, FN=0, Flags=.p.....TC"
"220941","47.881816","0.050396000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2667","88","","Best Effort (Best Effort)","QoS Data, SN=2667, FN=0, Flags=.p.....TC"
"221092","47.895601","0.013785000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","243","2668","157","","Best Effort (Best Effort)","QoS Data, SN=2668, FN=0, Flags=.p.....TC"
"222455","48.128906","0.233305000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2669","88","","Best Effort (Best Effort)","QoS Data, SN=2669, FN=0, Flags=.p.....TC"
"222550","48.146459","0.017553000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","275","2670","189","","Best Effort (Best Effort)","QoS Data, SN=2670, FN=0, Flags=.p.....TC"
"223176","48.239886","0.093427000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2671","88","","Best Effort (Best Effort)","QoS Data, SN=2671, FN=0, Flags=.p.....TC"
"223328","48.259288","0.019402000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","339","2672","253","","Best Effort (Best Effort)","QoS Data, SN=2672, FN=0, Flags=.p.....TC"
"224153","48.382921","0.123633000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2673","88","","Best Effort (Best Effort)","QoS Data, SN=2673, FN=0, Flags=.p.....TC"
"224162","48.389373","0.006452000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","259","2674","173","","Best Effort (Best Effort)","QoS Data, SN=2674, FN=0, Flags=.p.....TC"
"225559","48.588187","0.198814000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2675","88","","Best Effort (Best Effort)","QoS Data, SN=2675, FN=0, Flags=.p.....TC"
"225825","48.635671","0.047484000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","275","2676","189","","Best Effort (Best Effort)","QoS Data, SN=2676, FN=0, Flags=.p.....TC"
"226811","48.808004","0.172333000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2677","88","","Best Effort (Best Effort)","QoS Data, SN=2677, FN=0, Flags=.p.....TC"
"226905","48.828954","0.020950000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","259","2678","173","","Best Effort (Best Effort)","QoS Data, SN=2678, FN=0, Flags=.p.....TC"
"229191","49.169861","0.340907000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2679","88","","Best Effort (Best Effort)","QoS Data, SN=2679, FN=0, Flags=.p.....TC"
"229352","49.198521","0.028660000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","579","2680","493","","Best Effort (Best Effort)","QoS Data, SN=2680, FN=0, Flags=.p.....TC"
"230215","49.323441","0.124920000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","170","2681","88","","Best Effort (Best Effort)","QoS Data, SN=2681, FN=0, Flags=.p.....TC"
"230216","49.323497","0.000056000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","259","2682","173","","Best Effort (Best Effort)","QoS Data, SN=2682, FN=0, Flags=.p.....TC"
"230921","49.432348","0.108851000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2683","88","","Best Effort (Best Effort)","QoS Data, SN=2683, FN=0, Flags=.p.....TC"
"238630","50.632613","1.200265000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2265","88","","Voice (Voice)","QoS Data, SN=2265, FN=0, Flags=.p.....TC"
"244989","51.698090","1.065477000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2685","88","","Best Effort (Best Effort)","QoS Data, SN=2685, FN=0, Flags=.p.....TC"
"245042","51.706904","0.008814000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","291","2686","205","","Best Effort (Best Effort)","QoS Data, SN=2686, FN=0, Flags=.p.....TC"
"258916","53.925969","2.219065000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2687","88","","Best Effort (Best Effort)","QoS Data, SN=2687, FN=0, Flags=.p.....TC"
"259023","53.936893","0.010924000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","291","2688","205","","Best Effort (Best Effort)","QoS Data, SN=2688, FN=0, Flags=.p.....TC"
"274637","58.271084","4.334191000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2691","88","","Best Effort (Best Effort)","QoS Data, SN=2691, FN=0, Flags=.p.....TC"
"274639","58.271236","0.000152000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","291","2692","205","","Best Effort (Best Effort)","QoS Data, SN=2692, FN=0, Flags=.p.....TC"
"282530","60.403963","2.132727000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2693","88","","Best Effort (Best Effort)","QoS Data, SN=2693, FN=0, Flags=.p.....TC"
"282532","60.404116","0.000153000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","291","2694","205","","Best Effort (Best Effort)","QoS Data, SN=2694, FN=0, Flags=.p.....TC"
"283312","60.573649","0.169533000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","170","2695","88","","Best Effort (Best Effort)","QoS Data, SN=2695, FN=0, Flags=.p.....TC"
"283313","60.573716","0.000067000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","259","2696","173","","Best Effort (Best Effort)","QoS Data, SN=2696, FN=0, Flags=.p.....TC"
"283748","60.662016","0.088300000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","170","2697","88","","Best Effort (Best Effort)","QoS Data, SN=2697, FN=0, Flags=.p.....TC"
"283749","60.662072","0.000056000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","259","2698","173","","Best Effort (Best Effort)","QoS Data, SN=2698, FN=0, Flags=.p.....TC"
"284141","60.748978","0.086906000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","170","2699","88","","Best Effort (Best Effort)","QoS Data, SN=2699, FN=0, Flags=.p.....TC"
"284142","60.749034","0.000056000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2700","88","","Best Effort (Best Effort)","QoS Data, SN=2700, FN=0, Flags=.p.....TC"
"307355","65.628276","4.879242000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","243","2701","157","","Best Effort (Best Effort)","QoS Data, SN=2701, FN=0, Flags=.p.....TC"
"307357","65.628431","0.000155000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","170","2702","88","","Best Effort (Best Effort)","QoS Data, SN=2702, FN=0, Flags=.p.....TC"
"307358","65.628487","0.000056000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","162","2703","76","","Best Effort (Best Effort)","QoS Data, SN=2703, FN=0, Flags=.p.....TC"
"320557","68.578781","2.950294000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","178","2720","92","","Best Effort (Best Effort)","QoS Data, SN=2720, FN=0, Flags=.p.....TC"
"321767","68.761206","0.182425000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","178","2721","92","","Best Effort (Best Effort)","QoS Data, SN=2721, FN=0, Flags=.p.....TC"
"323957","69.069533","0.308327000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","186","2722","100","","Best Effort (Best Effort)","QoS Data, SN=2722, FN=0, Flags=.p.....TC"
"324428","69.140668","0.071135000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","170","2723","88","","Best Effort (Best Effort)","QoS Data, SN=2723, FN=0, Flags=.p.....TC"
"324429","69.140722","0.000054000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2724","88","","Best Effort (Best Effort)","QoS Data, SN=2724, FN=0, Flags=.p.....TC"
"324723","69.221083","0.080361000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","260","2725","178","","Best Effort (Best Effort)","QoS Data, SN=2725, FN=0, Flags=.p.....TC"
"324724","69.221192","0.000109000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","1598","2726","1516","","Best Effort (Best Effort)","QoS Data, SN=2726, FN=0, Flags=.p.....TC"
"324725","69.221249","0.000057000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","184","2727","98","","Best Effort (Best Effort)","QoS Data, SN=2727, FN=0, Flags=.p.....TC"
"325186","69.348961","0.127712000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","304","2728","218","","Best Effort (Best Effort)","QoS Data, SN=2728, FN=0, Flags=.p.....TC"
"325350","69.387597","0.038636000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2729","88","","Best Effort (Best Effort)","QoS Data, SN=2729, FN=0, Flags=.p.....TC"
"325499","69.422727","0.035130000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2730","88","","Best Effort (Best Effort)","QoS Data, SN=2730, FN=0, Flags=.p.....TC"
"325510","69.425345","0.002618000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","180","2731","94","","Best Effort (Best Effort)","QoS Data, SN=2731, FN=0, Flags=.p.....TC"
"326113","69.530510","0.105165000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","259","2732","173","","Best Effort (Best Effort)","QoS Data, SN=2732, FN=0, Flags=.p.....TC"
"327125","69.704249","0.173739000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","259","2733","173","","Best Effort (Best Effort)","QoS Data, SN=2733, FN=0, Flags=.p.....TC"
"327922","69.851293","0.147044000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","170","2734","88","","Best Effort (Best Effort)","QoS Data, SN=2734, FN=0, Flags=.p.....TC"
"327923","69.851349","0.000056000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","243","2735","157","","Best Effort (Best Effort)","QoS Data, SN=2735, FN=0, Flags=.p.....TC"
"328906","70.007977","0.156628000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","243","2736","157","","Best Effort (Best Effort)","QoS Data, SN=2736, FN=0, Flags=.p.....TC"
"329723","70.182401","0.174424000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","170","2737","88","","Best Effort (Best Effort)","QoS Data, SN=2737, FN=0, Flags=.p.....TC"
"329724","70.182457","0.000056000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","275","2738","189","","Best Effort (Best Effort)","QoS Data, SN=2738, FN=0, Flags=.p.....TC"
"330753","70.386403","0.203946000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","186","2739","100","","Best Effort (Best Effort)","QoS Data, SN=2739, FN=0, Flags=.p.....TC"
"330835","70.398818","0.012415000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2740","88","","Best Effort (Best Effort)","QoS Data, SN=2740, FN=0, Flags=.p.....TC"
"330837","70.398967","0.000149000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","339","2741","253","","Best Effort (Best Effort)","QoS Data, SN=2741, FN=0, Flags=.p.....TC"
"331241","70.491460","0.092493000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2742","88","","Best Effort (Best Effort)","QoS Data, SN=2742, FN=0, Flags=.p.....TC"
"331269","70.499881","0.008421000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","259","2743","173","","Best Effort (Best Effort)","QoS Data, SN=2743, FN=0, Flags=.p.....TC"
"333168","70.849530","0.349649000","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","20:16:b9:9c:1d:b9","174","2744","88","","Best Effort (Best Effort)","QoS Data, SN=2744, FN=0, Flags=.p.....TC"
