"No.","Time","Source","Destination","Protocol","Length","Sequence Number","TCP Segment Len","Info"
"127","23.383944","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","2170","0","60645  >  57071 [ACK] Seq=2170 Ack=2120 Win=129600 Len=0 TSval=1394094610 TSecr=803562727"
"128","23.386484","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","2170","0","60645  >  57071 [ACK] Seq=2170 Ack=2217 Win=130944 Len=0 TSval=1394094612 TSecr=803562727"
"129","23.475651","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","187","2170","101","Application Data"
"130","23.475761","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","2217","0","57071  >  60645 [ACK] Seq=2217 Ack=2271 Win=130944 Len=0 TSval=803562822 TSecr=1394094680"
"131","23.628280","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","459","2217","373","Application Data"
"132","23.960452","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","2271","0","60645  >  57071 [ACK] Seq=2271 Ack=2590 Win=130688 Len=0 TSval=1394095087 TSecr=803562974"
"133","23.960731","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","171","2271","85","Application Data"
"134","23.960822","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","2590","0","57071  >  60645 [ACK] Seq=2590 Ack=2356 Win=130944 Len=0 TSval=803563305 TSecr=1394095106"
"135","23.983429","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","187","2590","101","Application Data"
"136","23.991199","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","2356","0","60645  >  57071 [ACK] Seq=2356 Ack=2691 Win=130944 Len=0 TSval=1394095214 TSecr=803563327"
"137","24.033810","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","491","2356","405","Application Data"
"138","24.033917","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","2691","0","57071  >  60645 [ACK] Seq=2691 Ack=2761 Win=130624 Len=0 TSval=803563376 TSecr=1394095235"
"139","24.147535","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","2691","85","Application Data"
"143","25.695440","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","171","2691","85","[TCP Retransmission] 57071  >  60645 [PSH, ACK] Seq=2691 Ack=2761 Win=131072 Len=85 TSval=803565036 TSecr=1394095235"
"146","26.034668","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","2761","0","60645  >  57071 [ACK] Seq=2761 Ack=2776 Win=130944 Len=0 TSval=1394097182 TSecr=803565036"
"147","26.118351","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","171","2761","85","Application Data"
"148","26.118461","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","2776","0","57071  >  60645 [ACK] Seq=2776 Ack=2846 Win=130944 Len=0 TSval=803565457 TSecr=1394097197"
"149","26.129353","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","2776","85","Application Data"
"150","26.244106","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","2846","0","60645  >  57071 [ACK] Seq=2846 Ack=2861 Win=130944 Len=0 TSval=1394097417 TSecr=803565467"
"151","26.252475","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","203","2846","117","Application Data"
"152","26.252565","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","2861","0","57071  >  60645 [ACK] Seq=2861 Ack=2963 Win=130944 Len=0 TSval=803565589 TSecr=1394097425"
"153","26.740875","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","203","2846","117","[TCP Spurious Retransmission] 60645  >  57071 [PSH, ACK] Seq=2846 Ack=2861 Win=131072 Len=117 TSval=1394097730 TSecr=803565467"
"154","26.740968","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","98","2861","0","[TCP Window Update] 57071  >  60645 [ACK] Seq=2861 Ack=2963 Win=131072 Len=0 TSval=803566077 TSecr=1394097730 SLE=2846 SRE=2963"
"155","28.281544","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","2861","85","Application Data"
"156","28.287062","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","2963","0","60645  >  57071 [ACK] Seq=2963 Ack=2946 Win=130944 Len=0 TSval=1394099512 TSecr=803567616"
"157","28.354484","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","203","2963","117","Application Data"
"158","28.354601","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","2946","0","57071  >  60645 [ACK] Seq=2946 Ack=3080 Win=130944 Len=0 TSval=803567688 TSecr=1394099522"
"160","30.372680","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","2946","85","Application Data"
"161","30.483387","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","3080","0","60645  >  57071 [ACK] Seq=3080 Ack=3031 Win=130944 Len=0 TSval=1394101709 TSecr=803569706"
"162","30.582688","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","203","3080","117","Application Data"
"163","30.582794","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","3031","0","57071  >  60645 [ACK] Seq=3031 Ack=3197 Win=130944 Len=0 TSval=803569915 TSecr=1394101720"
"165","32.601571","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","3031","85","Application Data"
"166","32.720466","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","3197","0","60645  >  57071 [ACK] Seq=3197 Ack=3116 Win=130944 Len=0 TSval=1394103932 TSecr=803571932"
"167","32.730955","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","203","3197","117","Application Data"
"168","32.731045","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","3116","0","57071  >  60645 [ACK] Seq=3116 Ack=3314 Win=130944 Len=0 TSval=803572060 TSecr=1394103953"
"172","34.743401","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","3116","85","Application Data"
"173","34.753511","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","3314","0","60645  >  57071 [ACK] Seq=3314 Ack=3201 Win=130944 Len=0 TSval=1394105977 TSecr=803574071"
"174","34.761354","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","203","3314","117","Application Data"
"175","34.761441","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","3201","0","57071  >  60645 [ACK] Seq=3201 Ack=3431 Win=130944 Len=0 TSval=803574089 TSecr=1394105987"
"179","36.774136","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","3201","85","Application Data"
"182","37.909259","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","171","3201","85","[TCP Retransmission] 57071  >  60645 [PSH, ACK] Seq=3201 Ack=3431 Win=131072 Len=85 TSval=803577234 TSecr=1394105987"
"183","37.969093","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","3431","0","60645  >  57071 [ACK] Seq=3431 Ack=3286 Win=130944 Len=0 TSval=1394109173 TSecr=803577234"
"184","37.988777","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","203","3431","117","Application Data"
"185","37.988880","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","3286","0","57071  >  60645 [ACK] Seq=3286 Ack=3548 Win=130944 Len=0 TSval=803577312 TSecr=1394109183"
"188","40.001877","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","3286","85","Application Data"
"189","40.043305","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","3548","0","60645  >  57071 [ACK] Seq=3548 Ack=3371 Win=130944 Len=0 TSval=1394111255 TSecr=803579323"
"190","40.050859","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","203","3548","117","Application Data"
"191","40.050958","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","3371","0","57071  >  60645 [ACK] Seq=3371 Ack=3665 Win=130944 Len=0 TSval=803579371 TSecr=1394111266"
"195","42.062135","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","3371","85","Application Data"
"196","42.068630","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","3665","0","60645  >  57071 [ACK] Seq=3665 Ack=3456 Win=130944 Len=0 TSval=1394113296 TSecr=803581382"
"197","42.082104","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","203","3665","117","Application Data"
"198","42.082234","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","3456","0","57071  >  60645 [ACK] Seq=3456 Ack=3782 Win=130944 Len=0 TSval=803581400 TSecr=1394113306"
"228","44.094571","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","3456","85","Application Data"
"229","44.205911","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","3782","0","60645  >  57071 [ACK] Seq=3782 Ack=3541 Win=130944 Len=0 TSval=1394115395 TSecr=803583412"
"230","44.244594","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","203","3782","117","Application Data"
"231","44.244702","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","3541","0","57071  >  60645 [ACK] Seq=3541 Ack=3899 Win=130944 Len=0 TSval=803583560 TSecr=1394115406"
"239","46.261303","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","3541","85","Application Data"
"240","46.273807","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","3899","0","60645  >  57071 [ACK] Seq=3899 Ack=3626 Win=130944 Len=0 TSval=1394117497 TSecr=803585575"
"241","46.279831","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","203","3899","117","Application Data"
"242","46.279918","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","3626","0","57071  >  60645 [ACK] Seq=3626 Ack=4016 Win=130944 Len=0 TSval=803585592 TSecr=1394117507"
"248","48.296190","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","3626","85","Application Data"
"249","48.414664","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","4016","0","60645  >  57071 [ACK] Seq=4016 Ack=3711 Win=130944 Len=0 TSval=1394119592 TSecr=803587606"
"250","48.426917","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","203","4016","117","Application Data"
"251","48.427008","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","3711","0","57071  >  60645 [ACK] Seq=3711 Ack=4133 Win=130944 Len=0 TSval=803587736 TSecr=1394119601"
"252","48.441365","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","3711","85","Application Data"
"253","48.554607","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","4133","0","60645  >  57071 [ACK] Seq=4133 Ack=3796 Win=130944 Len=0 TSval=1394119713 TSecr=803587750"
"254","48.605352","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","171","4133","85","Application Data"
"255","48.605454","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","3796","0","57071  >  60645 [ACK] Seq=3796 Ack=4218 Win=130944 Len=0 TSval=803587913 TSecr=1394119723"
"256","48.616033","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","3796","85","Application Data"
"257","48.747261","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","4218","0","60645  >  57071 [ACK] Seq=4218 Ack=3881 Win=130944 Len=0 TSval=1394119946 TSecr=803587923"
"258","48.778836","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","171","4218","85","Application Data"
"259","48.778935","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","3881","0","57071  >  60645 [ACK] Seq=3881 Ack=4303 Win=130944 Len=0 TSval=803588084 TSecr=1394119954"
"260","48.811948","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","155","3881","69","Encrypted Alert"
"261","48.813293","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","3950","0","57071  >  60645 [FIN, ACK] Seq=3950 Ack=4303 Win=131072 Len=0 TSval=803588118 TSecr=1394119954"
"265","48.881075","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","4303","0","60645  >  57071 [ACK] Seq=4303 Ack=3950 Win=130944 Len=0 TSval=1394120085 TSecr=803588117"
"266","48.917347","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","4303","0","60645  >  57071 [ACK] Seq=4303 Ack=3951 Win=130944 Len=0 TSval=1394120085 TSecr=803588118"
"274","53.868917","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","155","4303","69","Encrypted Alert"
"275","53.869083","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","74","3951","0","57071  >  60645 [RST] Seq=3951 Win=0 Len=0"
"276","53.869436","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","4372","0","60645  >  57071 [FIN, ACK] Seq=4372 Ack=3951 Win=130944 Len=0 TSval=1394124961 TSecr=803588118"
"277","53.869441","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","74","4373","0","60645  >  57071 [RST, ACK] Seq=4373 Ack=3951 Win=130944 Len=0"
"278","53.869647","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","74","3951","0","57071  >  60645 [RST] Seq=3951 Win=0 Len=0"
"284","58.933597","fe80::4e9:7ecb:78c2:fe8e","ff02::1","UDP","72","","","57584  >  15118 Len=10"
"287","58.980761","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","UDP","90","","","15118  >  57584 Len=28"
"294","60.072118","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","98","0","0","57072  >  60645 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1440 WS=64 TSval=803599369 TSecr=0 SACK_PERM=1"
"295","60.125879","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","98","0","0","60645  >  57072 [SYN, ACK, ECN] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=3775604192 TSecr=803599369 SACK_PERM=1"
"296","60.125993","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","1","0","57072  >  60645 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=803599422 TSecr=3775604192"
"297","60.180753","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","288","1","202","Client Hello"
"299","60.261883","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1","0","[TCP Window Update] 60645  >  57072 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=3775604242 TSecr=803599422"
"300","60.279603","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","176","1","90","Server Hello"
"301","60.279702","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","203","0","57072  >  60645 [ACK] Seq=203 Ack=91 Win=131264 Len=0 TSval=803599574 TSecr=3775604374"
"302","60.282782","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","1514","91","1428","60645  >  57072 [ACK] Seq=91 Ack=203 Win=131136 Len=1428 TSval=3775604374 TSecr=803599476 [TCP segment of a reassembled PDU]"
"303","60.282788","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","96","1519","10","Certificate"
