"No.","Time","Time Diff","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","Traffic Class","Info"
"60","2.315619152","0.003348395","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","2776","2844","0x00","Application Data"
"61","2.568091530","0.252472378","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","171","2776","2844","0x00","[TCP Retransmission] 36612  >  58226 [PSH, ACK] Seq=2776 Ack=2844 Win=64128 Len=85 TSval=911833568 TSecr=4198268142"
"62","2.655980419","0.087888889","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2844","2861","0x00","58226  >  36612 [ACK] Seq=2844 Ack=2861 Win=130944 Len=0 TSval=4198268167 TSecr=911833315"
"63","2.655995757","0.000015338","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","2844","2861","0x00","Application Data"
"64","2.656003151","0.000007394","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","203","2844","2861","0x00","[TCP Retransmission] 58226  >  36612 [PSH, ACK] Seq=2844 Ack=2861 Win=131072 Len=117 TSval=4198268402 TSecr=911833315"
"65","2.656010254","0.000007103","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","98","2861","2961","0x00","36612  >  58226 [ACK] Seq=2861 Ack=2961 Win=64128 Len=0 TSval=911833655 TSecr=4198268402 SLE=2844 SRE=2961"
"66","2.656020951","0.000010697","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","2961","2861","0x00","[TCP Dup ACK 62#1] 58226  >  36612 [ACK] Seq=2961 Ack=2861 Win=131072 Len=0 TSval=4198268441 TSecr=911833568 SLE=2776 SRE=2861"
"68","4.661941293","2.005920342","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","2861","2961","0x00","Application Data"
"69","4.892431065","0.230489772","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2961","2946","0x00","58226  >  36612 [ACK] Seq=2961 Ack=2946 Win=130944 Len=0 TSval=4198270609 TSecr=911835661"
"70","4.892446908","0.000015843","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","2961","2946","0x00","Application Data"
"71","4.892459367","0.000012459","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2946","3078","0x00","36612  >  58226 [ACK] Seq=2946 Ack=3078 Win=64128 Len=0 TSval=911835892 TSecr=4198270620"
"78","6.897787098","2.005327731","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","2946","3078","0x00","Application Data"
"81","7.080174192","0.182387094","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3078","3031","0x00","58226  >  36612 [ACK] Seq=3078 Ack=3031 Win=130944 Len=0 TSval=4198272846 TSecr=911837897"
"82","7.080212441","0.000038249","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","3078","3031","0x00","Application Data"
"83","7.080224501","0.000012060","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3031","3195","0x00","36612  >  58226 [ACK] Seq=3031 Ack=3195 Win=64128 Len=0 TSval=911838080 TSecr=4198272857"
"86","9.085296128","2.005071627","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3031","3195","0x00","Application Data"
"87","9.165060823","0.079764695","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3195","3116","0x00","58226  >  36612 [ACK] Seq=3195 Ack=3116 Win=130944 Len=0 TSval=4198274990 TSecr=911840085"
"88","9.165077173","0.000016350","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","3195","3116","0x00","Application Data"
"89","9.165089273","0.000012100","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3116","3312","0x00","36612  >  58226 [ACK] Seq=3116 Ack=3312 Win=64128 Len=0 TSval=911840165 TSecr=4198275000"
"90","11.169966025","2.004876752","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3116","3312","0x00","Application Data"
"91","11.449499716","0.279533691","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3312","3201","0x00","58226  >  36612 [ACK] Seq=3312 Ack=3201 Win=131072 Len=0 TSval=4198277139 TSecr=911842170"
"92","11.449514363","0.000014647","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","3312","3201","0x00","Application Data"
"93","11.449527181","0.000012818","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3201","3429","0x00","36612  >  58226 [ACK] Seq=3201 Ack=3429 Win=64128 Len=0 TSval=911842449 TSecr=4198277149"
"94","13.454311226","2.004784045","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3201","3429","0x00","Application Data"
"97","13.532012848","0.077701622","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3429","3286","0x00","58226  >  36612 [ACK] Seq=3429 Ack=3286 Win=131072 Len=0 TSval=4198279372 TSecr=911844454"
"98","13.553326439","0.021313591","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","3429","3286","0x00","Application Data"
"99","13.553348300","0.000021861","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3286","3546","0x00","36612  >  58226 [ACK] Seq=3286 Ack=3546 Win=64128 Len=0 TSval=911844553 TSecr=4198279382"
"100","13.556779694","0.003431394","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3286","3546","0x00","Application Data"
"101","13.648894234","0.092114540","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3546","3371","0x00","58226  >  36612 [ACK] Seq=3546 Ack=3371 Win=131072 Len=0 TSval=4198279484 TSecr=911844556"
"102","13.657025699","0.008131465","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","3546","3371","0x00","Application Data"
"103","13.660359063","0.003333364","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3371","3631","0x00","Application Data"
"104","13.699285005","0.038925942","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3631","3456","0x00","58226  >  36612 [ACK] Seq=3631 Ack=3456 Win=130944 Len=0 TSval=4198279508 TSecr=911844660"
"105","13.699299981","0.000014976","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","3631","3456","0x00","Application Data"
"106","13.707000733","0.007700752","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","155","3456","3716","0x00","Encrypted Alert"
"107","13.707052756","0.000052023","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3525","3716","0x00","36612  >  58226 [FIN, ACK] Seq=3525 Ack=3716 Win=64128 Len=0 TSval=911844707 TSecr=4198279518"
"108","13.740000010","0.032947254","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3716","3525","0x00","58226  >  36612 [ACK] Seq=3716 Ack=3525 Win=130944 Len=0 TSval=4198279561 TSecr=911844707"
"109","13.751818010","0.011818000","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3716","3526","0x00","58226  >  36612 [ACK] Seq=3716 Ack=3526 Win=130944 Len=0 TSval=4198279584 TSecr=911844707"
"114","19.177153110","5.425335100","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","155","3716","3526","0x00","Encrypted Alert"
"115","19.177169413","0.000016303","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","74","3526","0","0x00","36612  >  58226 [RST] Seq=3526 Win=0 Len=0"
"116","19.177182203","0.000012790","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3785","3526","0x00","58226  >  36612 [FIN, ACK] Seq=3785 Ack=3526 Win=130944 Len=0 TSval=4198284527 TSecr=911844707"
"117","19.177184613","0.000002410","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","74","3526","0","0x00","36612  >  58226 [RST] Seq=3526 Win=0 Len=0"
"118","19.177186526","0.000001913","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","74","3786","3526","0x00","58226  >  36612 [RST, ACK] Seq=3786 Ack=3526 Win=130944 Len=0"
"121","21.445582864","2.268396338","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","0x00","59703  >  15118 Len=10"
"122","21.571555268","0.125972404","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","UDP","90","","","0x00","15118  >  59703 Len=28"
"123","21.887855578","0.316300310","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","94","0","0","0x00","36614  >  58226 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=911852888 TSecr=0 WS=128"
"124","21.987245013","0.099389435","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","0","1","0x00","58226  >  36614 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=4131133361 TSecr=911852888 SACK_PERM=1"
"125","21.987270364","0.000025351","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","1","1","0x00","36614  >  58226 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=911852987 TSecr=4131133361"
"126","21.999913524","0.012643160","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","1","0x00","[TCP Window Update] 58226  >  36614 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=4131133410 TSecr=911852987"
"127","22.007412167","0.007498643","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","288","1","1","0x00","Client Hello"
"128","22.016957533","0.009545366","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","203","0x00","58226  >  36614 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=4131133426 TSecr=911853007"
"129","22.331363641","0.314406108","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","176","1","203","0x00","Server Hello"
"130","22.331385365","0.000021724","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","91","0x00","36614  >  58226 [ACK] Seq=203 Ack=91 Win=64896 Len=0 TSval=911853331 TSecr=4131133437"
"131","22.331398209","0.000012844","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","1524","91","203","0x00","Certificate"
"132","22.331400440","0.000002231","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1529","0x00","36614  >  58226 [ACK] Seq=203 Ack=1529 Win=63488 Len=0 TSval=911853331 TSecr=4131133437"
"140","22.383732999","0.052332559","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","1514","1","203","0x00","[TCP Spurious Retransmission] 58226  >  36614 [ACK] Seq=1 Ack=203 Win=131136 Len=1428 TSval=4131133774 TSecr=911853007"
"141","22.383753479","0.000020480","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","98","203","1529","0x00","[TCP Window Update] 36614  >  58226 [ACK] Seq=203 Ack=1529 Win=64128 Len=0 TSval=911853384 TSecr=4131133437 SLE=1 SRE=1429"
"142","22.383763036","0.000009557","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","215","1529","203","0x00","Server Key Exchange, Server Hello Done"
"143","22.383765098","0.000002062","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1658","0x00","36614  >  58226 [ACK] Seq=203 Ack=1658 Win=64000 Len=0 TSval=911853384 TSecr=4131133776"
"146","22.398417097","0.014651999","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","128","203","1658","0x00","Client Key Exchange"
"148","22.408818613","0.010401516","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","215","1529","203","0x00","[TCP Spurious Retransmission] 58226  >  36614 [PSH, ACK] Seq=1529 Ack=203 Win=131136 Len=129 TSval=4131133811 TSecr=911853331"
"149","22.408837513","0.000018900","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","98","245","1658","0x00","[TCP Dup ACK 143#1] 36614  >  58226 [ACK] Seq=245 Ack=1658 Win=64128 Len=0 TSval=911853409 TSecr=4131133811 SLE=1529 SRE=1658"
"150","22.462066313","0.053228800","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1658","245","0x00","58226  >  36614 [ACK] Seq=1658 Ack=245 Win=131072 Len=0 TSval=4131133822 TSecr=911853398"
"151","22.462086231","0.000019918","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","177","245","1658","0x00","Change Cipher Spec, Encrypted Handshake Message"
"161","22.760575359","0.298489128","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","177","245","1658","0x00","[TCP Retransmission] 36614  >  58226 [PSH, ACK] Seq=245 Ack=1658 Win=64128 Len=91 TSval=911853761 TSecr=4131133822"
"164","22.781925499","0.021350140","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1658","336","0x00","58226  >  36614 [ACK] Seq=1658 Ack=336 Win=131008 Len=0 TSval=4131133969 TSecr=911853462"
"165","22.781938693","0.000013194","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","92","1658","336","0x00","Change Cipher Spec"
"166","22.781950231","0.000011538","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1664","0x00","36614  >  58226 [ACK] Seq=336 Ack=1664 Win=64128 Len=0 TSval=911853782 TSecr=4131133972"
"168","22.812323257","0.030373026","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","183","1664","336","0x00","Encrypted Handshake Message"
"169","22.812345089","0.000021832","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1749","0x00","36614  >  58226 [ACK] Seq=336 Ack=1749 Win=64128 Len=0 TSval=911853812 TSecr=4131134184"
