"No.","Time","Time Diff","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","TCP Segment Len","Traffic Class","Info"
"25","10.028346853","0.008929623","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","207","1529","203","121","0xe0","Server Key Exchange"
"26","10.028372690","0.000025837","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1650","0","0xe0","47428  >  64483 [ACK] Seq=203 Ack=1650 Win=63488 Len=0 TSval=909044376 TSecr=3360411397"
"27","10.034322968","0.005950278","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","95","1650","203","9","0xe0","Server Hello Done"
"28","10.034339081","0.000016113","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1659","0","0xe0","47428  >  64483 [ACK] Seq=203 Ack=1659 Win=63488 Len=0 TSval=909044382 TSecr=3360411404"
"29","10.049257961","0.014918880","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","128","203","1659","42","0xe0","Client Key Exchange"
"30","10.052297518","0.003039557","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1659","245","0","0xe0","64483  >  47428 [ACK] Seq=1659 Ack=245 Win=131072 Len=0 TSval=3360411422 TSecr=909044397"
"31","10.055023641","0.002726123","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","92","245","1659","6","0xe0","Change Cipher Spec"
"32","10.057696625","0.002672984","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1659","251","0","0xe0","64483  >  47428 [ACK] Seq=1659 Ack=251 Win=131072 Len=0 TSval=3360411427 TSecr=909044402"
"33","10.057709587","0.000012962","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","251","1659","85","0xe0","Encrypted Handshake Message"
"34","10.060758050","0.003048463","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1659","336","0","0xe0","64483  >  47428 [ACK] Seq=1659 Ack=336 Win=131008 Len=0 TSval=3360411430 TSecr=909044405"
"35","10.064020168","0.003262118","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","92","1659","336","6","0xe0","Change Cipher Spec"
"36","10.119727028","0.055706860","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1665","0","0xe0","47428  >  64483 [ACK] Seq=336 Ack=1665 Win=64128 Len=0 TSval=909044467 TSecr=3360411433"
"37","10.122892093","0.003165065","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","1665","336","85","0xe0","Encrypted Handshake Message"
"38","10.122903178","0.000011085","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1750","0","0xe0","47428  >  64483 [ACK] Seq=336 Ack=1750 Win=64128 Len=0 TSval=909044470 TSecr=3360411492"
"39","10.150455016","0.027551838","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","187","336","1750","101","0xe0","Application Data"
"40","10.154671565","0.004216549","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1750","437","0","0xe0","64483  >  47428 [ACK] Seq=1750 Ack=437 Win=130944 Len=0 TSval=3360411524 TSecr=909044498"
"41","10.241496546","0.086824981","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","155","1750","437","69","0xe0","Application Data"
"42","10.283408422","0.041911876","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","437","1819","0","0xe0","47428  >  64483 [ACK] Seq=437 Ack=1819 Win=64128 Len=0 TSval=909044631 TSecr=3360411610"
"43","10.293915246","0.010506824","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","437","1819","85","0xe0","Application Data"
"44","10.299325730","0.005410484","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1819","522","0","0xe0","64483  >  47428 [ACK] Seq=1819 Ack=522 Win=130944 Len=0 TSval=3360411669 TSecr=909044641"
"45","10.305914635","0.006588905","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","187","1819","522","101","0xe0","Application Data"
"46","10.305929093","0.000014458","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","522","1920","0","0xe0","47428  >  64483 [ACK] Seq=522 Ack=1920 Win=64128 Len=0 TSval=909044653 TSecr=3360411675"
"47","10.311081748","0.005152655","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","522","1920","85","0xe0","Application Data"
"48","10.313672710","0.002590962","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1920","607","0","0xe0","64483  >  47428 [ACK] Seq=1920 Ack=607 Win=130944 Len=0 TSval=3360411683 TSecr=909044658"
"49","10.323217353","0.009544643","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","251","1920","607","165","0xe0","Application Data"
"50","10.363429489","0.040212136","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","607","2085","0","0xe0","47428  >  64483 [ACK] Seq=607 Ack=2085 Win=64128 Len=0 TSval=909044711 TSecr=3360411691"
"51","10.370823291","0.007393802","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","607","2085","85","0xe0","Application Data"
"52","10.373290267","0.002466976","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2085","692","0","0xe0","64483  >  47428 [ACK] Seq=2085 Ack=692 Win=130944 Len=0 TSval=3360411743 TSecr=909044718"
"53","10.379420548","0.006130281","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","2085","692","85","0xe0","Application Data"
"54","10.379510675","0.000090127","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","692","2170","0","0xe0","47428  >  64483 [ACK] Seq=692 Ack=2170 Win=64128 Len=0 TSval=909044727 TSecr=3360411748"
"55","10.506839288","0.127328613","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","1514","692","2170","1428","0xe0","47428  >  64483 [ACK] Seq=692 Ack=2170 Win=64128 Len=1428 TSval=909044854 TSecr=3360411748 [TCP segment of a reassembled PDU]"
"56","10.506858503","0.000019215","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","183","2120","2170","97","0xe0","Application Data"
"57","10.514546880","0.007688377","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2170","2217","0","0xe0","64483  >  47428 [ACK] Seq=2170 Ack=2217 Win=129536 Len=0 TSval=3360411884 TSecr=909044854"
"58","10.752073764","0.237526884","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","187","2170","2217","101","0xe0","Application Data"
"59","10.752211414","0.000137650","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2217","2271","0","0xe0","47428  >  64483 [ACK] Seq=2217 Ack=2271 Win=64128 Len=0 TSval=909045099 TSecr=3360412092"
"60","10.822320885","0.070109471","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","459","2217","2271","373","0xe0","Application Data"
"61","10.826028349","0.003707464","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2271","2590","0","0xe0","64483  >  47428 [ACK] Seq=2271 Ack=2590 Win=130688 Len=0 TSval=3360412195 TSecr=909045170"
"62","10.841386617","0.015358268","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","2271","2590","85","0xe0","Application Data"
"63","10.841521973","0.000135356","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2590","2356","0","0xe0","47428  >  64483 [ACK] Seq=2590 Ack=2356 Win=64128 Len=0 TSval=909045189 TSecr=3360412210"
"64","10.846816264","0.005294291","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","187","2590","2356","101","0xe0","Application Data"
"65","10.851483540","0.004667276","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2356","2691","0","0xe0","64483  >  47428 [ACK] Seq=2356 Ack=2691 Win=130944 Len=0 TSval=3360412219 TSecr=909045194"
"66","10.867672902","0.016189362","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","491","2356","2691","405","0xe0","Application Data"
"67","10.919408925","0.051736023","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2691","2761","0","0xe0","47428  >  64483 [ACK] Seq=2691 Ack=2761 Win=64128 Len=0 TSval=909045267 TSecr=3360412237"
"68","10.919854754","0.000445829","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","2691","2761","85","0xe0","Application Data"
"69","10.922884823","0.003030069","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2761","2776","0","0xe0","64483  >  47428 [ACK] Seq=2761 Ack=2776 Win=130944 Len=0 TSval=3360412292 TSecr=909045267"
"70","10.929513427","0.006628604","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","2761","2776","85","0xe0","Application Data"
"71","10.929709934","0.000196507","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2776","2846","0","0xe0","47428  >  64483 [ACK] Seq=2776 Ack=2846 Win=64128 Len=0 TSval=909045277 TSecr=3360412299"
"72","10.932833827","0.003123893","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","2776","2846","85","0xe0","Application Data"
"73","10.936683863","0.003850036","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2846","2861","0","0xe0","64483  >  47428 [ACK] Seq=2846 Ack=2861 Win=130944 Len=0 TSval=3360412306 TSecr=909045280"
"74","10.941738010","0.005054147","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","2846","2861","117","0xe0","Application Data"
"75","10.983432363","0.041694353","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2861","2963","0","0xe0","47428  >  64483 [ACK] Seq=2861 Ack=2963 Win=64128 Len=0 TSval=909045331 TSecr=3360412311"
"109","12.947900528","1.964468165","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","2861","2963","85","0xe0","Application Data"
"110","13.010700941","0.062800413","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2963","2946","0","0xe0","64483  >  47428 [ACK] Seq=2963 Ack=2946 Win=130944 Len=0 TSval=3360414378 TSecr=909047295"
"111","13.020736822","0.010035881","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","2963","2946","117","0xe0","Application Data"
"112","13.020753709","0.000016887","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2946","3080","0","0xe0","47428  >  64483 [ACK] Seq=2946 Ack=3080 Win=64128 Len=0 TSval=909047368 TSecr=3360414388"
"115","15.025756258","2.005002549","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","2946","3080","85","0xe0","Application Data"
"116","15.057755609","0.031999351","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3080","3031","0","0xe0","64483  >  47428 [ACK] Seq=3080 Ack=3031 Win=130944 Len=0 TSval=3360416424 TSecr=909049373"
"117","15.064982302","0.007226693","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","3080","3031","117","0xe0","Application Data"
"118","15.065005009","0.000022707","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3031","3197","0","0xe0","47428  >  64483 [ACK] Seq=3031 Ack=3197 Win=64128 Len=0 TSval=909049412 TSecr=3360416433"
"119","17.070135454","2.005130445","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3031","3197","85","0xe0","Application Data"
"124","17.330324922","0.260189468","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3197","3116","0","0xe0","64483  >  47428 [ACK] Seq=3197 Ack=3116 Win=130944 Len=0 TSval=3360418576 TSecr=909051417"
"125","17.330340870","0.000015948","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","3197","3116","117","0xe0","Application Data"
"126","17.330353603","0.000012733","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3116","3314","0","0xe0","47428  >  64483 [ACK] Seq=3116 Ack=3314 Win=64128 Len=0 TSval=909051678 TSecr=3360418586"
"127","19.335314175","2.004960572","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3116","3314","85","0xe0","Application Data"
"128","19.559670047","0.224355872","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3314","3201","0","0xe0","64483  >  47428 [ACK] Seq=3314 Ack=3201 Win=131072 Len=0 TSval=3360420845 TSecr=909053682"
"129","19.559684939","0.000014892","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","3314","3201","117","0xe0","Application Data"
"130","19.559697362","0.000012423","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3201","3431","0","0xe0","47428  >  64483 [ACK] Seq=3201 Ack=3431 Win=64128 Len=0 TSval=909053907 TSecr=3360420855"
"131","21.565366265","2.005668903","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3201","3431","85","0xe0","Application Data"
"132","21.609680081","0.044313816","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3431","3286","0","0xe0","64483  >  47428 [ACK] Seq=3431 Ack=3286 Win=131072 Len=0 TSval=3360422979 TSecr=909055913"
"133","21.619425577","0.009745496","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","3431","3286","117","0xe0","Application Data"
"134","21.619486845","0.000061268","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3286","3548","0","0xe0","47428  >  64483 [ACK] Seq=3286 Ack=3548 Win=64128 Len=0 TSval=909055967 TSecr=3360422989"
"135","21.622778309","0.003291464","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3286","3548","85","0xe0","Application Data"
"136","21.630118676","0.007340367","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3548","3371","0","0xe0","64483  >  47428 [ACK] Seq=3548 Ack=3371 Win=131072 Len=0 TSval=3360422995 TSecr=909055970"
"137","21.633633889","0.003515213","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","3548","3371","85","0xe0","Application Data"
"138","21.637112149","0.003478260","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3371","3633","85","0xe0","Application Data"
"139","21.639929078","0.002816929","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3633","3456","0","0xe0","64483  >  47428 [ACK] Seq=3633 Ack=3456 Win=130944 Len=0 TSval=3360423010 TSecr=909055984"
"140","21.649308952","0.009379874","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","3633","3456","85","0xe0","Application Data"
"141","21.657129824","0.007820872","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","155","3456","3718","69","0xe0","Encrypted Alert"
"142","21.657188878","0.000059054","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3525","3718","0","0xe0","47428  >  64483 [FIN, ACK] Seq=3525 Ack=3718 Win=64128 Len=0 TSval=909056004 TSecr=3360423018"
"143","21.659026592","0.001837714","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3718","3525","0","0xe0","64483  >  47428 [ACK] Seq=3718 Ack=3525 Win=130944 Len=0 TSval=3360423029 TSecr=909056004"
"144","21.659138760","0.000112168","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3718","3526","0","0xe0","64483  >  47428 [ACK] Seq=3718 Ack=3526 Win=130944 Len=0 TSval=3360423029 TSecr=909056004"
"181","26.727651891","5.068513131","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","155","3718","3526","69","0xe0","Encrypted Alert"
"182","26.727668119","0.000016228","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","74","3526","0","0","0x00","47428  >  64483 [RST] Seq=3526 Win=0 Len=0"
"183","26.727680814","0.000012695","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3787","3526","0","0xe0","64483  >  47428 [FIN, ACK] Seq=3787 Ack=3526 Win=130944 Len=0 TSval=3360428028 TSecr=909056004"
"184","26.727682854","0.000002040","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","74","3526","0","0","0x00","47428  >  64483 [RST] Seq=3526 Win=0 Len=0"
"185","26.727690989","0.000008135","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","74","3788","3526","0","0xe0","64483  >  47428 [RST, ACK] Seq=3788 Ack=3526 Win=130944 Len=0"
"186","29.390806819","2.663115830","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","","0xe0","56358  >  15118 Len=10"
"187","29.593441830","0.202635011","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","UDP","90","","","","0xe0","15118  >  56358 Len=28"
"188","29.928394756","0.334952926","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","94","0","0","0","0x00","47430  >  64483 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=909064275 TSecr=0 WS=128"
"189","30.208018443","0.279623687","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","0","1","0","0x00","64483  >  47430 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=3504711602 TSecr=909064275 SACK_PERM=1"
"190","30.208046086","0.000027643","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","1","1","0","0x00","47430  >  64483 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=909064555 TSecr=3504711602"
"191","30.210505881","0.002459795","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","0","1","0","0x00","[TCP Out-Of-Order] 64483  >  47430 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=3504711703 TSecr=909064275 SACK_PERM=1"
"192","30.210525655","0.000019774","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","1","1","0","0xe0","[TCP Dup ACK 190#1] 47430  >  64483 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=909064558 TSecr=3504711602"
"193","30.211744258","0.001218603","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","1","0","0x00","[TCP Window Update] 64483  >  47430 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=3504711703 TSecr=909064555"
"194","30.230112462","0.018368204","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","288","1","1","202","0xe0","Client Hello"
"195","30.232317328","0.002204866","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","203","0","0xe0","64483  >  47430 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=3504711725 TSecr=909064577"
"196","30.244513366","0.012196038","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","176","1","203","90","0xe0","Server Hello"
"197","30.244540290","0.000026924","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","91","0","0xe0","47430  >  64483 [ACK] Seq=203 Ack=91 Win=64896 Len=0 TSval=909064592 TSecr=3504711737"
"198","30.244680681","0.000140391","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","1514","91","203","1428","0xe0","64483  >  47430 [ACK] Seq=91 Ack=203 Win=131136 Len=1428 TSval=3504711737 TSecr=909064577 [TCP segment of a reassembled PDU]"
"199","30.244687026","0.000006345","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1519","0","0xe0","47430  >  64483 [ACK] Seq=203 Ack=1519 Win=63488 Len=0 TSval=909064592 TSecr=3504711737"
"200","30.245356643","0.000669617","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","96","1519","203","10","0xe0","Certificate"
"201","30.245361842","0.000005199","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1529","0","0xe0","47430  >  64483 [ACK] Seq=203 Ack=1529 Win=63488 Len=0 TSval=909064592 TSecr=3504711737"
"202","30.247726662","0.002364820","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","206","1529","203","120","0xe0","Server Key Exchange"
"203","30.247742704","0.000016042","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1649","0","0xe0","47430  >  64483 [ACK] Seq=203 Ack=1649 Win=63488 Len=0 TSval=909064595 TSecr=3504711740"
"204","30.249881805","0.002139101","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","95","1649","203","9","0xe0","Server Hello Done"
"205","30.249895481","0.000013676","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1658","0","0xe0","47430  >  64483 [ACK] Seq=203 Ack=1658 Win=63488 Len=0 TSval=909064597 TSecr=3504711743"
"206","30.281873305","0.031977824","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","128","203","1658","42","0xe0","Client Key Exchange"
"207","30.284076382","0.002203077","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1658","245","0","0xe0","64483  >  47430 [ACK] Seq=1658 Ack=245 Win=131072 Len=0 TSval=3504711777 TSecr=909064629"
"208","30.287899476","0.003823094","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","92","245","1658","6","0xe0","Change Cipher Spec"
"209","30.290280793","0.002381317","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1658","251","0","0xe0","64483  >  47430 [ACK] Seq=1658 Ack=251 Win=131072 Len=0 TSval=3504711783 TSecr=909064635"
