"No.","Time","Time Diff","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","TCP Segment Len","Traffic Class","Info"
"81","38.156888158","0.040131451","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","437","1818","0","0xe0","39014  >  64616 [ACK] Seq=437 Ack=1818 Win=64128 Len=0 TSval=913256072 TSecr=504914376"
"82","38.170218863","0.013330705","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","437","1818","85","0xe0","Application Data"
"83","38.178898426","0.008679563","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1818","522","0","0xe0","64616  >  39014 [ACK] Seq=1818 Ack=522 Win=130944 Len=0 TSval=504914436 TSecr=913256085"
"84","38.201843198","0.022944772","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","187","1818","522","101","0xe0","Application Data"
"85","38.201868228","0.000025030","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","522","1919","0","0xe0","39014  >  64616 [ACK] Seq=522 Ack=1919 Win=64128 Len=0 TSval=913256117 TSecr=504914442"
"86","38.206378147","0.004509919","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","522","1919","85","0xe0","Application Data"
"87","38.235676753","0.029298606","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1919","607","0","0xe0","64616  >  39014 [ACK] Seq=1919 Ack=607 Win=130944 Len=0 TSval=504914492 TSecr=913256121"
"88","38.240483531","0.004806778","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","251","1919","607","165","0xe0","Application Data"
"89","38.287350811","0.046867280","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","607","2084","85","0xe0","Application Data"
"90","38.340367500","0.053016689","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2084","692","0","0xe0","64616  >  39014 [ACK] Seq=2084 Ack=692 Win=130944 Len=0 TSval=504914582 TSecr=913256202"
"91","38.340380650","0.000013150","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","2084","692","85","0xe0","Application Data"
"92","38.396878961","0.056498311","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","692","2169","0","0xe0","39014  >  64616 [ACK] Seq=692 Ack=2169 Win=64128 Len=0 TSval=913256312 TSecr=504914595"
"93","38.464681467","0.067802506","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","1514","692","2169","1428","0xe0","39014  >  64616 [ACK] Seq=692 Ack=2169 Win=64128 Len=1428 TSval=913256380 TSecr=504914595 [TCP segment of a reassembled PDU]"
"94","38.464698423","0.000016956","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","183","2120","2169","97","0xe0","Application Data"
"95","38.512929750","0.048231327","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2169","2217","0","0xe0","64616  >  39014 [ACK] Seq=2169 Ack=2217 Win=129536 Len=0 TSval=504914770 TSecr=913256380"
"96","38.610492085","0.097562335","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","187","2169","2217","101","0xe0","Application Data"
"97","38.610566470","0.000074385","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2217","2270","0","0xe0","39014  >  64616 [ACK] Seq=2217 Ack=2270 Win=64128 Len=0 TSval=913256526 TSecr=504914841"
"98","38.674426461","0.063859991","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","459","2217","2270","373","0xe0","Application Data"
"99","38.740833675","0.066407214","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2270","2590","0","0xe0","64616  >  39014 [ACK] Seq=2270 Ack=2590 Win=130688 Len=0 TSval=504914950 TSecr=913256589"
"100","38.740912458","0.000078783","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","2270","2590","85","0xe0","Application Data"
"101","38.741112465","0.000200007","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2590","2355","0","0xe0","39014  >  64616 [ACK] Seq=2590 Ack=2355 Win=64128 Len=0 TSval=913256656 TSecr=504914965"
"102","38.746039498","0.004927033","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","187","2590","2355","101","0xe0","Application Data"
"103","38.801321485","0.055281987","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2355","2691","0","0xe0","64616  >  39014 [ACK] Seq=2355 Ack=2691 Win=130944 Len=0 TSval=504915033 TSecr=913256661"
"104","38.818028987","0.016707502","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","491","2355","2691","405","0xe0","Application Data"
"105","38.860897865","0.042868878","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2691","2760","0","0xe0","39014  >  64616 [ACK] Seq=2691 Ack=2760 Win=64128 Len=0 TSval=913256776 TSecr=504915062"
"106","38.872274785","0.011376920","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","2691","2760","85","0xe0","Application Data"
"107","38.941235319","0.068960534","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2760","2776","0","0xe0","64616  >  39014 [ACK] Seq=2760 Ack=2776 Win=130944 Len=0 TSval=504915176 TSecr=913256787"
"108","38.941717088","0.000481769","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","2760","2776","85","0xe0","Application Data"
"109","38.941865566","0.000148478","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2776","2845","0","0xe0","39014  >  64616 [ACK] Seq=2776 Ack=2845 Win=64128 Len=0 TSval=913256857 TSecr=504915187"
"110","38.944856799","0.002991233","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","2776","2845","85","0xe0","Application Data"
"111","38.968438923","0.023582124","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2845","2861","0","0xe0","64616  >  39014 [ACK] Seq=2845 Ack=2861 Win=130944 Len=0 TSval=504915226 TSecr=913256860"
"112","38.999334372","0.030895449","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","2845","2861","117","0xe0","Application Data"
"113","39.040934232","0.041599860","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2861","2962","0","0xe0","39014  >  64616 [ACK] Seq=2861 Ack=2962 Win=64128 Len=0 TSval=913256956 TSecr=504915235"
"114","41.004757499","1.963823267","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","2861","2962","85","0xe0","Application Data"
"115","41.189164548","0.184407049","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","2962","2946","0","0xe0","64616  >  39014 [ACK] Seq=2962 Ack=2946 Win=130944 Len=0 TSval=504917334 TSecr=913258920"
"116","41.192612731","0.003448183","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","2962","2946","117","0xe0","Application Data"
"117","41.192636853","0.000024122","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","2946","3079","0","0xe0","39014  >  64616 [ACK] Seq=2946 Ack=3079 Win=64128 Len=0 TSval=913259108 TSecr=504917345"
"122","43.197162315","2.004525462","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","2946","3079","85","0xe0","Application Data"
"123","43.428487356","0.231325041","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3079","3031","0","0xe0","64616  >  39014 [ACK] Seq=3079 Ack=3031 Win=130944 Len=0 TSval=504919612 TSecr=913261112"
"124","43.428520369","0.000033013","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","3079","3031","117","0xe0","Application Data"
"125","43.428531453","0.000011084","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3031","3196","0","0xe0","39014  >  64616 [ACK] Seq=3031 Ack=3196 Win=64128 Len=0 TSval=913261343 TSecr=504919620"
"126","45.435748962","2.007217509","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3031","3196","85","0xe0","Application Data"
"127","45.529830015","0.094081053","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3196","3116","0","0xe0","64616  >  39014 [ACK] Seq=3196 Ack=3116 Win=130944 Len=0 TSval=504921772 TSecr=913263351"
"128","45.531334651","0.001504636","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","3196","3116","117","0xe0","Application Data"
"129","45.531358491","0.000023840","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3116","3313","0","0xe0","39014  >  64616 [ACK] Seq=3116 Ack=3313 Win=64128 Len=0 TSval=913263446 TSecr=504921782"
"134","47.535758818","2.004400327","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3116","3313","85","0xe0","Application Data"
"135","47.625919099","0.090160281","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3313","3201","0","0xe0","64616  >  39014 [ACK] Seq=3313 Ack=3201 Win=130944 Len=0 TSval=504923886 TSecr=913265451"
"136","47.931376456","0.305457357","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","3313","3201","117","0xe0","Application Data"
"137","47.931401068","0.000024612","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3201","3430","0","0xe0","39014  >  64616 [ACK] Seq=3201 Ack=3430 Win=64128 Len=0 TSval=913265846 TSecr=504923898"
"138","47.931417463","0.000016395","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","203","3313","3201","117","0xe0","[TCP Spurious Retransmission] 64616  >  39014 [PSH, ACK] Seq=3313 Ack=3201 Win=131072 Len=117 TSval=504924155 TSecr=913265451"
"139","47.931420633","0.000003170","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","98","3201","3430","0","0xe0","[TCP Dup ACK 137#1] 39014  >  64616 [ACK] Seq=3201 Ack=3430 Win=64128 Len=0 TSval=913265846 TSecr=504924155 SLE=3313 SRE=3430"
"140","49.936760050","2.005339417","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3201","3430","85","0xe0","Application Data"
"141","50.077672589","0.140912539","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3430","3286","0","0xe0","64616  >  39014 [ACK] Seq=3430 Ack=3286 Win=131072 Len=0 TSval=504926276 TSecr=913267852"
"142","50.077689081","0.000016492","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","203","3430","3286","117","0xe0","Application Data"
"143","50.077703115","0.000014034","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3286","3547","0","0xe0","39014  >  64616 [ACK] Seq=3286 Ack=3547 Win=64128 Len=0 TSval=913267992 TSecr=504926286"
"144","50.081346052","0.003642937","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3286","3547","85","0xe0","Application Data"
"145","50.488392329","0.407046277","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3547","3371","0","0xe0","64616  >  39014 [ACK] Seq=3547 Ack=3371 Win=131072 Len=0 TSval=504926354 TSecr=913267996"
"146","50.488408187","0.000015858","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","3547","3371","85","0xe0","Application Data"
"147","50.492002629","0.003594442","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","3371","3632","85","0xe0","Application Data"
"148","50.529564485","0.037561856","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","171","3547","3371","85","0xe0","[TCP Spurious Retransmission] 64616  >  39014 [PSH, ACK] Seq=3547 Ack=3371 Win=131072 Len=85 TSval=504926584 TSecr=913267996"
"149","50.529582482","0.000017997","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","98","3456","3632","0","0xe0","[TCP Dup ACK 147#1] 39014  >  64616 [ACK] Seq=3456 Ack=3632 Win=64128 Len=0 TSval=913268444 TSecr=504926584 SLE=3547 SRE=3632"
"150","50.535590512","0.006008030","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3632","3456","0","0xe0","64616  >  39014 [ACK] Seq=3632 Ack=3456 Win=130944 Len=0 TSval=504926788 TSecr=913268407"
"151","50.546530990","0.010940478","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","3632","3456","85","0xe0","Application Data"
"152","50.546553687","0.000022697","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3456","3717","0","0xe0","39014  >  64616 [ACK] Seq=3456 Ack=3717 Win=64128 Len=0 TSval=913268461 TSecr=504926798"
"153","50.554499878","0.007946191","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","155","3456","3717","69","0xe0","Encrypted Alert"
"154","50.554552628","0.000052750","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","3525","3717","0","0xe0","39014  >  64616 [FIN, ACK] Seq=3525 Ack=3717 Win=64128 Len=0 TSval=913268469 TSecr=504926798"
"155","50.603556088","0.049003460","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3717","3526","0","0xe0","64616  >  39014 [ACK] Seq=3717 Ack=3526 Win=130944 Len=0 TSval=504926825 TSecr=913268469"
"156","55.713117596","5.109561508","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","155","3717","3526","69","0xe0","Encrypted Alert"
"157","55.713133483","0.000015887","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","74","3526","0","0","0x00","39014  >  64616 [RST] Seq=3526 Win=0 Len=0"
"158","55.713146462","0.000012979","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","3786","3526","0","0xe0","64616  >  39014 [FIN, ACK] Seq=3786 Ack=3526 Win=130944 Len=0 TSval=504931806 TSecr=913268469"
"159","55.713148581","0.000002119","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","74","3526","0","0","0x00","39014  >  64616 [RST] Seq=3526 Win=0 Len=0"
"160","55.713150384","0.000001803","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","74","3787","3526","0","0xe0","64616  >  39014 [RST, ACK] Seq=3787 Ack=3526 Win=130944 Len=0"
"161","58.294545153","2.581394769","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","","0xe0","49827  >  15118 Len=10"
"162","58.514139881","0.219594728","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","UDP","90","","","","0xe0","15118  >  49827 Len=28"
"163","58.809760095","0.295620214","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","94","0","0","0","0x00","39016  >  64616 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=913276724 TSecr=0 WS=128"
"164","59.004712251","0.194952156","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","0","1","0","0x00","64616  >  39016 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=4241406124 TSecr=913276724 SACK_PERM=1"
"165","59.004739511","0.000027260","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","1","1","0","0x00","39016  >  64616 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=913276919 TSecr=4241406124"
"166","59.015413888","0.010674377","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","1","0","0x00","[TCP Window Update] 64616  >  39016 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=4241406224 TSecr=913276919"
"167","59.025128029","0.009714141","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","288","1","1","202","0xe0","Client Hello"
"168","59.040273698","0.015145669","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","203","0","0xe0","64616  >  39016 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=4241406242 TSecr=913276940"
"169","59.049623285","0.009349587","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","176","1","203","90","0xe0","Server Hello"
"170","59.049635858","0.000012573","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","91","0","0xe0","39016  >  64616 [ACK] Seq=203 Ack=91 Win=64896 Len=0 TSval=913276964 TSecr=4241406252"
"171","59.049648030","0.000012172","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","1524","91","203","1438","0xe0","Certificate"
"172","59.049649988","0.000001958","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1529","0","0xe0","39016  >  64616 [ACK] Seq=203 Ack=1529 Win=63488 Len=0 TSval=913276964 TSecr=4241406252"
"173","59.085395886","0.035745898","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","215","1529","203","129","0xe0","Server Key Exchange, Server Hello Done"
"174","59.085412058","0.000016172","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","1658","0","0xe0","39016  >  64616 [ACK] Seq=203 Ack=1658 Win=63360 Len=0 TSval=913277000 TSecr=4241406278"
"175","59.099213426","0.013801368","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","128","203","1658","42","0xe0","Client Key Exchange"
"176","59.163221744","0.064008318","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1658","245","0","0xe0","64616  >  39016 [ACK] Seq=1658 Ack=245 Win=131072 Len=0 TSval=4241406315 TSecr=913277014"
"177","59.163243211","0.000021467","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","177","245","1658","91","0xe0","Change Cipher Spec, Encrypted Handshake Message"
"178","59.220930926","0.057687715","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1658","336","0","0xe0","64616  >  39016 [ACK] Seq=1658 Ack=336 Win=131008 Len=0 TSval=4241406414 TSecr=913277078"
"179","59.220946105","0.000015179","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","92","1658","336","6","0xe0","Change Cipher Spec"
"180","59.281571166","0.060625061","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1664","0","0xe0","39016  >  64616 [ACK] Seq=336 Ack=1664 Win=64128 Len=0 TSval=913277196 TSecr=4241406414"
"181","59.309137766","0.027566600","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","171","1664","336","85","0xe0","Encrypted Handshake Message"
"182","59.309254462","0.000116696","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","336","1749","0","0xe0","39016  >  64616 [ACK] Seq=336 Ack=1749 Win=64128 Len=0 TSval=913277224 TSecr=4241406507"
"183","59.345975407","0.036720945","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","187","336","1749","101","0xe0","Application Data"
"184","59.367550288","0.021574881","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1749","437","0","0xe0","64616  >  39016 [ACK] Seq=1749 Ack=437 Win=130944 Len=0 TSval=4241406576 TSecr=913277261"
"185","59.378581908","0.011031620","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","155","1749","437","69","0xe0","Application Data"
"186","59.420887070","0.042305162","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","437","1818","0","0xe0","39016  >  64616 [ACK] Seq=437 Ack=1818 Win=64128 Len=0 TSval=913277335 TSecr=4241406588"
"187","59.436204768","0.015317698","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","171","437","1818","85","0xe0","Application Data"
"188","59.445471500","0.009266732","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1818","522","0","0xe0","64616  >  39016 [ACK] Seq=1818 Ack=522 Win=130944 Len=0 TSval=4241406656 TSecr=913277351"
